"sample_id","x_ctr","y_ctr","weather","prev_fire","date","rdnbr","elev_m","slope_deg","aspect_deg","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
60,520022.369829781,4871120.68033396,"extreme","none","824",1227,2548.5479953546,31.2766640728741,34.4424689765404,"40.86","17.8746871569704","63.8606501040387","0.34","7.3725","21.245","27.37","30.855","37.0700000000001","72.8937728937729","15.6288156288156"
61,522300.184772193,4871360.59482037,"extreme","none","822",543,2163.16368713379,25.010605713077,71.6741700716925,"22.26","2.70694573643411","187.029012368544","0","0.13","0.3","1.25","11.492","19.148","7.73349196906603","28.9113622843546"
62,525240.379407572,4875820.86038244,"extreme","none","824",947,2300.05188354492,10.6627242915698,167.673932843171,"23.96","9.73483545414656","65.7192962887391","0.28","3.81","10.2","14.985","17.902","21.5544","68.0832610581093","10.5377276669558"
63,521456.218603191,4880213.98494596,"extreme","none","911",204,2101.75949792566,4.67759750466076,66.931586066755,"22.01","6.14197430696416","93.07787385053","0.17","0.39","5.48","10.655","14.174","19.3232","41.9719827586207","27.1012931034483"
64,523593.410424966,4870899.90918229,"extreme","wilcox","824",617,2084.88498122431,9.88728813941998,124.065315740791,"30.91","1.42482810810811","275.387392106691","0.11","0.2","0.34","0.81","1.6896","23.3452","4.1566265060241","49.9397590361446"
65,521532.493416145,4869120.97746149,"extreme","none","911",1278,2321.42133117676,20.731415088884,5.80836189794523,"34.09","11.7393833696668","83.5600555071953","0.24","0.62","11.38","20.165","25.7","30.999","56.8070818070818","25.1831501831502"
66,526870.388410754,4876866.15265356,"extreme","adams_huck","824",161,2298.99829082014,2.79324075891178,134.942362756263,"14.35","1.56391691394659","140.259887468741","0.11","0.15","0.28","2.7575","4.39","11.1177","10.8257804632427","22.9607250755287"
67,526643.445088886,4884910.4571307,"extreme","none","911",1132,2091.42849208313,3.05522444999057,223.502447325537,"22.14","8.049525496511","64.8571879882069","0.2218","3.78","8.35","12.265","14.74","18.7464","65.1768172888016","8.64440078585462"
68,520834.055854607,4876120.90139363,"extreme","adams_huck","822",197,2285.69702192418,20.6179392852249,68.7145300031215,"9.17","1.69512558139535","121.736212187435","0.06","0.22","0.5","3.05","5.09","7.2382","17.5283111767602","34.5150172328902"
69,519516.937787708,4875972.696813,"extreme","none","822",539,2530.34484022765,19.56262365296,178.949515447024,"17.2","2.25967813540511","166.783068974722","0.02","0.13","0.32","3.0725","8.37","14.7196","17.0228178196306","46.6497645780514"
70,524585.646974625,4879893.09531734,"extreme","none","911",1122,2165.96227191714,14.8203645882866,45.2803650385567,"21.19","2.53998756218905","163.528711689321","0.16","0.33","1.14","2.52","5.87499999999999","19.6344","21.5089620675281","42.9345560650271"
71,522876.602967322,4880287.8616436,"extreme","none","911",302,2068.13016559426,0.111359699971877,151.710144251878,"27.93","4.08728752260398","155.650005982269","0.13","0.22","1.025","4.61225","16.465","22.3695","18.4060721062619","45.0347881087919"
72,517304.191230637,4872293.720642,"extreme","none","911",1106,2408.05957204746,25.2267591573607,207.603078528023,"34.85","14.5111324956259","59.6364523840956","0.46","7.56","16.03","21.22","25.084","29.6784","84.0926791277259","9.83255451713396"
73,523460.041341531,4876658.20006914,"extreme","none","822",550,2364.54998547178,38.062091995185,130.927641328911,"19.93","5.65083552055993","95.8482785911813","0.2","0.7425","3.535","10.1275","13.935","18.1115","46.9874952633573","31.9439181508147"
74,521204.281367615,4871731.55373901,"extreme","none","822",846,2177.65937325055,19.6958046419717,336.866807903171,"39.84","13.4008345053915","88.2508295062242","0.33","2.09","9.85","24.495","30.602","37.1804","71.2883654532477","20.9850107066381"
75,521799.662037337,4871251.01498419,"extreme","wilcox","822",340,2437.99714904785,40.7276105069656,259.387128887819,"19.05","1.65145487364621","189.149770029815","-0.08","0.13","0.44","1.15","5.83","14.3366","14.1600454029512","60.6838819523269"
76,517847.922524266,4875738.52253176,"extreme","none","911",421,2297.85723162413,14.7772190924474,247.081449356826,"21.17","6.35928849360756","103.615154376108","0.09","0.17","4.29","12.005","16.204","19.7808","32.6988960791778","27.255424438523"
77,522080.263475346,4880312.91623608,"extreme","none","911",1277,2170.00245760087,9.74106922077426,268.096306082628,"17.58","5.37009738283628","83.2783091251344","0.19","1.525","4.3","8.925","12.018","15.8474","50.389729481889","16.1852361302155"
78,526934.33914239,4876089.51682608,"extreme","none","824",869,2304.3741297375,1.53712602049879,289.363170684234,"26.32","9.57190658499234","69.7743202443859","0.23","3.4175","9.76","15.2","18.14","22.7189","65.6565656565657","13.4920634920635"
79,526209.487591163,4884387.62178122,"extreme","none","911",13,2084.5490625,0.525414696182423,303.467105664351,"16.91","7.82330054644809","48.3569227515467","0.23","6.065","8.465","10.40225","11.959","15.2052","41.8956043956044","3.50274725274725"
80,523625.784412535,4881314.54442003,"extreme","none","911",1290,2099.33849737297,5.92741325103845,32.6865686330862,"24.55","5.10137370753324","113.712506476462","0.19","0.68","3.03","6.485","16.16","21.624","52.1450685537373","25.2985404688191"
81,519918.507324609,4878215.07689994,"extreme","adams_huck","911",624,2351.65761495915,8.4391082658499,112.974022571216,"16.69","1.66889","132.131378079534","0.05","0.1975","0.485","2.71","4.631","8.42669999999999","14.4671201814059","29.9773242630385"
82,521696.514252318,4877770.62155624,"extreme","none","824",101,2087.14256634918,7.45803377585554,121.203540281431,"22.19","9.49349574209246","64.5933805903116","0.4","3.84","9.835","14.67","17.54","20.7884","56.0814008518694","8.5660198769522"
83,524710.974858707,4877976.20613674,"extreme","none","822",8,2230.77049210169,14.5382235857066,69.7071637227196,"19.23","4.46823725055432","107.521899408188","0.12","0.23","2.835","7.88","11.527","17.457","23.9626556016598","19.5539419087137"
84,526344.714440142,4875965.73655007,"extreme","none","824",78,2239.28511009029,5.14380672284916,188.617573655712,"24.18","12.4736694021102","53.6893158700869","0.22","7.2625","14.74","17.7175","19.445","22.863","55.7293868921776","4.98942917547569"
85,518885.428251396,4872695.48029244,"extreme","none","911",1253,2279.52013770479,23.0648284274262,19.074604608787,"37.48","11.0164607314585","90.8816020636066","0.26","1.04","8.5","19.925","25.918","32.8914","70.6460418562329","24.6951774340309"
86,523210.862017693,4877829.12611094,"extreme","none","822",70,2230.42807131447,37.3966140753462,288.767295673596,"25.05","7.6036379769299","83.7542372913566","0.17","0.98","6.915","12.3475","16.947","22.1905","52.065131056394","21.1278792692613"
87,522818.716239585,4881216.83047143,"extreme","none","911",1296,2151.88152834279,8.97647911661286,44.923360614272,"20.13","6.71586088939567","86.2052255952778","0.23","1.105","5.085","12.1175","15.047","17.91","50.8847441415591","21.0425633668101"
88,526349.57697142,4883895.33955487,"extreme","none","911",585,2084.92326397047,0.678754014295963,297.904952406107,"16.65","4.87990471698113","70.8129553165796","0.16","2.34975","4.6","7.1325","9.271","14.1769","51.1139401654997","10.7574793125398"
89,523049.014107668,4877319.29039298,"extreme","none","822",797,2222.93755859375,39.0355816362872,284.257821310598,"22.96","7.4913630105553","77.5946843597368","0.33","1.695","7.29","12.03","15.414","20.0666","59.9018733273863","19.3131132917038"
90,523156.454729529,4878546.77222143,"extreme","adams_huck","824",93,2108.73887098975,18.3049045930763,293.888864315306,"9.38","3.39414518317503","68.5315284923595","0.18","0.7225","3.63","5.3075","6.45","7.7581","49.0224129709108","18.5979971387697"
91,517374.021420603,4871669.38101363,"extreme","none","911",653,2617.91321472168,16.3886393298197,59.5239228968747,"33.03","10.093672427337","79.9887561692707","0.85","3.685","8.06","14.7825","23.085","30.5265","65.3728294177732","10.9976166155941"
92,521159.383682178,4875234.41206051,"extreme","none","822",626,2221.63356021891,12.0753012411889,101.241355774051,"25.06","7.62174114021572","82.5990148080512","0.19","1.7625","6.565","12.3825","17.05","21.8939","44.4039562727746","15.0442477876106"
93,525390.981257305,4878295.87828452,"extreme","none","822",875,2338.06058725916,11.9413705174831,10.0658142763291,"19.59","7.1989299046039","72.5354379109604","0.22","2.09","7.33","11.48","14.09","17.869","57.2805139186296","15.3104925053533"
94,519280.939686765,4871941.18586012,"extreme","none","824",780,2407.92775421112,30.8798824769802,313.441958146377,"20.09","5.858331475288","90.7808417278301","0.17","0.89","4.62","9.76","14.02","18.423","49.984399375975","25.7410296411856"
95,522667.130000581,4876471.97446903,"extreme","none","822",1234,2070.43601917827,5.74632100653743,230.451972341485,"23.86","6.5325128458498","97.2482597068937","0.26","1.03675","4.44","10.04475","17.528","21.7531","60.1438848920863","20.9592326139089"
96,521654.137375604,4878792.78627408,"extreme","none","911",1025,2123.97152756385,14.0383342711719,43.9987408202361,"25.84","9.41220989761092","81.8424492047568","0.24","0.78","9.065","16.1975","20.061","24.2371","61.460624725033","21.6893972723273"
97,524843.388110043,4882839.2583496,"extreme","none","911",132,2075.58335427084,4.73061638066884,273.532516080674,"20.42","7.46113503184713","58.8377360160269","1.105","4.1925","7.425","10.485","13.42","17.4431","60.3012633624879","5.4421768707483"
98,520623.191992408,4877812.32313116,"extreme","none","911",59,2275.6984967041,5.18351884591135,141.493174002993,"24.2","8.67968556455455","86.3037165522841","0.15","0.34","8.6","15.435","19.32","22.2","45.5382152861145","23.3693477390956"
99,527116.597104917,4885378.99088211,"extreme","none","911",956,2108.39915156544,3.4201966284516,136.140373164309,"22.65","6.55823338735819","82.9143201870872","0.19","1.89","5.51","10.63","14.61","19.74","61.3555892766818","15.2250885179565"
100,518481.009348508,4872177.5514615,"extreme","none","911",1216,2412.38101196289,10.7893072767085,321.844480090355,"33.73","9.58418099547511","95.8143069316574","0.2","0.61","6.765","16.6475","24.09","30.3371","60.8133669609079","26.9861286254729"
