"sample_id","x_ctr","y_ctr","weather","prev_fire.x","date","rdnbr","elev_m","slope_deg","aspect_deg","TPH_trees","BA_m2_ha","CC_pct","CH_m","CFL_kg_m2","CBD_kg_m3","CBH_m","CWD_cover_pct","CWD_Mg_ha","Shrub_cover_pct","Shrub_ht_m"
79,526209.487591163,4884387.62178122,"extreme","none","911",13,2084.5490625,0.525414696182423,303.467105664351,1080.59459104225,15.8361973263965,19.0490723420216,15.6055310229973,1.66517845930185,0.131936091724443,0.570726093088894,6.5200355391778,25.6408216464206,3.58836415393193,0.279167368934102
80,523625.784412535,4881314.54442003,"extreme","none","911",1290,2099.33849737297,5.92741325103845,32.6865686330862,5093.15078575864,20.0653781729439,45.5815953468151,15.2038057078341,0.960437715097585,0.102871963854782,0.410992921692615,23.8222001101728,196.990663050915,32.5906359913926,0.632202333229878
81,519918.507324609,4878215.07689994,"extreme","adams_huck","911",624,2351.65761495915,8.4391082658499,112.974022571216,1269.07792428455,2.61511357064874,28.7022949070962,8.43805318073703,0.0700621033843346,0.102334453456081,0.610585864298801,12.5304023905611,59.8034127668364,0,1.16912888004656
82,521696.514252318,4877770.62155624,"extreme","none","824",101,2087.14256634918,7.45803377585554,121.203540281431,1092.63983972796,26.6138838424833,47.3362816416627,21.6318073370781,0.998290217197836,0.0683968547796684,1.0489629456719,3.71597193318458,32.0936523439558,13.1009247431482,0
83,524710.974858707,4877976.20613674,"extreme","none","822",8,2230.77049210169,14.5382235857066,69.7071637227196,271.096899494991,4.90926374768363,23.8426460751553,11.6447673817374,0.165632108655201,0.0567323313191381,1.30994200213513,8.59269718582636,49.4948680393548,9.71298533456671,0.55707285335661
84,526344.714440142,4875965.73655007,"extreme","none","824",78,2239.28511009029,5.14380672284916,188.617573655712,1922.7938543964,24.5627717458586,36.7261732505285,21.7299697155224,0.74923634888366,0.0520971989473957,0.517127419664896,2.17695096493704,26.823401253872,0,0.411045179113546
85,518885.428251396,4872695.48029244,"extreme","none","911",1253,2279.52013770479,23.0648284274262,19.074604608787,1054.42654437494,25.4236276578595,33.5642217147912,22.762641639139,1.35673092602641,0.0743516687777038,0.25207601339348,10.4307487170943,50.3316826726047,55.8061706000602,1.36691735637909
86,523210.862017693,4877829.12611094,"extreme","none","822",70,2230.42807131447,37.3966140753462,288.767295673596,409.360665942516,20.129488722287,46.3914556273293,21.6826065593445,2.07024890984889,0.149591425106613,0.24519744393444,8.49203873980376,25.9814818332981,73.0538611796806,0.813953992507068
87,522818.716239585,4881216.83047143,"extreme","none","911",1296,2151.88152834279,8.97647911661286,44.923360614272,3691.39366111396,21.8317759621125,54.8429175703264,17.4762387610215,1.23695155865819,0.0968265552369922,0.873605373144024,11.5744276900369,53.4773908341482,36.1960539926256,0.312396043577028
88,526349.57697142,4883895.33955487,"extreme","none","911",585,2084.92326397047,0.678754014295963,297.904952406107,2201.281952718,20.8163485811318,39.1021916205494,13.3299482076619,1.26349107029266,0.103551733878372,0.439582342855442,7.02955043020389,15.8785733768324,15.8856661517467,0.616761370308985
89,523049.014107668,4877319.29039298,"extreme","none","822",797,2222.93755859375,39.0355816362872,284.257821310598,878.276794985311,25.7075856175616,54.7923080942822,22.3263354635114,2.09911477818123,0.189758681514038,0.119523261867343,7.7974337239258,29.4319774798097,66.1819682969335,0.843979960901638
90,523156.454729529,4878546.77222143,"extreme","adams_huck","824",93,2108.73887098975,18.3049045930763,293.888864315306,6105.47205810157,27.783918628827,64.2453149823053,15.2802854740792,2.58532064144975,0.316555393160915,0.0783212929971292,11.7239631167269,11.9662985113721,30.5952943211603,0.331058748490919
91,517374.021420603,4871669.38101363,"extreme","none","911",653,2617.91321472168,16.3886393298197,59.5239228968747,1989.75913794743,25.5302760389715,36.415939381826,21.9286304273308,0.373610311566242,0.0777943593845143,0.182517977276124,2.91076487898473,167.962516228344,0,0.496121549934987
92,521159.383682178,4875234.41206051,"extreme","none","822",626,2221.63356021891,12.0753012411889,101.241355774051,1362.85125631125,21.4294214878545,42.3108884420571,21.2456919390572,1.24219744499394,0.172738963569151,0.146401392669753,12.5571622670929,72.5076676366332,24.2758705821584,0.263761013168112
